name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;375;0;444;3069;927;3069;927;0
header;83;113;83;149;1703;149;1703;113
A;894;191;894;215;914;215;914;191
A;637;598;637;603;643;603;643;598
B;893;877;893;904;913;904;913;877
B;681;964;681;989;694;989;694;964
A;550;1145;550;1170;564;1170;564;1145
B;861;1235;861;1260;875;1260;875;1235
A;603;1381;603;1386;608;1386;608;1381
C;890;1553;890;1582;911;1582;911;1553
B;540;2236;540;2263;571;2263;571;2236
B;807;2237;807;2251;828;2251;828;2237
D;893;2326;893;2352;915;2352;915;2326
B;692;2393;692;2419;705;2419;705;2393
D;558;2394;558;2420;590;2420;590;2394
