name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;404;0;565;3069;1732;3069;1617;0
header;214;102;214;135;1853;135;1853;102
A;1020;165;1020;192;1042;192;1042;165
A;682;806;682;809;684;809;684;806
B;1018;841;1018;868;1038;868;1038;841
B;666;1462;666;1481;682;1481;682;1462
C;1011;1523;1011;1551;1031;1551;1031;1523
B;1285;1832;1285;1847;1293;1847;1293;1832
B;669;1879;669;1894;677;1894;677;1879
A;1566;2148;1566;2148;1566;2148;1566;2148
D;1386;2151;1386;2167;1394;2167;1394;2151
D;1013;2195;1013;2221;1033;2221;1033;2195
A;1697;2335;1697;2341;1702;2341;1702;2335
C;1602;2797;1602;2824;1625;2824;1625;2797
B;1665;2797;1665;2812;1686;2812;1686;2797
A;623;3012;623;3016;626;3016;626;3012
